"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry",
"AFC","Ares Capital Corporation","25.25","202000000","n/a","n/a","n/a","n/a",
"ACRE","Ares Commercial Real Estate Corporation","14.17","406659162","n/a","2012","Consumer Services","Real Estate Investment Trusts",
"ARDC","Ares Dynamic Credit Allocation Fund, Inc.","14.38","330199901.58","n/a","2012","n/a","n/a",
"ARES","Ares Management Corporation","20.97","4583571600.96","n/a","2014","Finance","Investment Managers",
"AGX","Argan, Inc.","42.33","659108535.27","n/a","n/a","Basic Industries","Engineering & Construction",
"ARGD","Argo Group International Holdings, Ltd.","25.18","0","n/a","n/a","Finance","Specialty Insurers",
"ARGO","Argo Group International Holdings, Ltd.","63.99","2168700191.64","n/a","n/a","Finance","Specialty Insurers",
"ANET","Arista Networks, Inc.","227.26","17141608198","n/a","2014","Technology","Computer Communications Equipment",
"AI","Arlington Asset Investment Corp","8.34","253082687.64","n/a","n/a","Finance","Finance/Investors Services",
"AIC","Arlington Asset Investment Corp","22.872","0","n/a","2015","Finance","Finance/Investors Services",
"AIW","Arlington Asset Investment Corp","23.8036","0","n/a","n/a","Finance","Finance/Investors Services",
"ARLO","Arlo Technologies, Inc.","6.8","504881300","n/a","2018","Consumer Non-Durables","Consumer Electronics/Appliances",
"AHH","Armada Hoffler Properties, Inc.","14.51","720099261.92","n/a","2013","Finance","Real Estate",
"ARR","ARMOUR Residential REIT, Inc.","21.14","1069744544.96","n/a","n/a","Consumer Services","Real Estate Investment Trusts",
"AFI","Armstrong Flooring, Inc.","13.26","342474095.34","n/a","2016","Consumer Non-Durables","Plastic Products",
"AWI","Armstrong World Industries Inc","66.06","3274339142.34","n/a","n/a","Consumer Non-Durables","Plastic Products",
"ARW","Arrow Electronics, Inc.","75.57","6587598922.08","n/a","n/a","Consumer Non-Durables","Electronic Components",
"AJG","Arthur J. Gallagher & Co.","73.5","13498422000","n/a","n/a","Finance","Specialty Insurers",
"APAM","Artisan Partners Asset Management Inc.","22.93","1764300054.96","n/a","2013","Finance","Investment Managers",
"ASA","ASA Gold and Precious Metals Limited","9.63","185761785.15","n/a","n/a","n/a","n/a",
"ABG","Asbury Automotive Group Inc","69.88","1369759598.36","n/a","2002","Consumer Durables","Automotive Aftermarket",
"ASX","ASE Technology Holding Co., Ltd.","3.9","8143423509","n/a","2018","Technology","Semiconductors",
"ASGN","ASGN Incorporated","62.16","3261971998.32","n/a","1992","Technology","Professional Services",
"AHT","Ashford Hospitality Trust Inc","4.71","475891005.3","n/a","2003","Consumer Services","Real Estate Investment Trusts",
"ASH","Ashland Global Holdings Inc.","75.92","4764467102.72","n/a","n/a","Consumer Durables","Specialty Chemicals",
"ASPN","Aspen Aerogels, Inc.","2.75","65918839.25","n/a","2014","Consumer Services","RETAIL: Building Materials",
"AHL","Aspen Insurance Holdings Limited","41.86","2498991851.72","n/a","2003","Finance","Property-Casualty Insurers",
"ASB","Associated Banc-Corp","22.03","3622613200","n/a","n/a","Finance","Major Banks",
"AC","Associated Capital Group, Inc.","40.35","911814693.3","n/a","2015","Finance","Investment Bankers/Brokers/Service",
"AIZ","Assurant, Inc.","95.24","5910016769.4","n/a","2004","Finance","Accident &Health Insurance",
"AIZP","Assurant, Inc.","103.28","0","n/a","n/a","Finance","Accident &Health Insurance",
"AGO","Assured Guaranty Ltd.","40.24","4252059314.72","n/a","2004","Finance","Property-Casualty Insurers",
"AZN","Astrazeneca PLC","35.75","90593319674","n/a","n/a","Health Care","Major Pharmaceuticals",
"HOME","At Home Group Inc.","22.43","1425883937.42","n/a","2016","Consumer Services","Home Furnishings",
"T","AT&T Inc.","30.66","223143480000","n/a","n/a","Public Utilities","Telecommunications Equipment",
"TBB","AT&T Inc.","24.28","0","n/a","2017","Public Utilities","Telecommunications Equipment",
"TBC","AT&T Inc.","24.515","0","n/a","2018","Public Utilities","Telecommunications Equipment",
"ATTO","Atento S.A.","4.08","301548948.48","n/a","2014","Public Utilities","Telecommunications Equipment",
"ATH","Athene Holding Ltd.","42.87","8563618772.28","n/a","2016","Finance","Life Insurance",
"ATKR","Atkore International Group Inc.","22.1","1043348602.4","n/a","2016","Miscellaneous","Industrial Machinery/Components",
"AT","Atlantic Power Corporation","2.56","280000657.92","n/a","n/a","Energy","Electric Utilities: Central",
"ATO","Atmos Energy Corporation","94.83","11084550300.18","n/a","n/a","Public Utilities","Oil/Gas Transmission",
"AUO","AU Optronics Corp","4.18","4022934455.98","n/a","2002","Technology","Semiconductors",
"ACB","Aurora Cannabis Inc.","6.72","6707116039.68","n/a","n/a","Consumer Durables","Specialty Chemicals",
"ATHM","Autohome Inc.","76.02","8905047873.12","n/a","2013","Technology","EDP Services",
"ALV","Autoliv, Inc.","80.97","7055958345.84","n/a","n/a","Capital Goods","Auto Parts:O.E.M.",
"AN","AutoNation, Inc.","37.2","3345217068","n/a","n/a","Consumer Durables","Automotive Aftermarket",
"AZO","AutoZone, Inc.","814.64","20533103030","n/a","n/a","Consumer Services","Other Specialty Stores",
"AVLR","Avalara, Inc.","40.8","2713407549.6","n/a","2018","Technology","Computer Software: Prepackaged Software",
"AVB","AvalonBay Communities, Inc.","186.65","25799242130.55","n/a","n/a","Consumer Services","Real Estate Investment Trusts",
"AGR","Avangrid, Inc.","49.15","15187609118.8","n/a","2015","Public Utilities","Electric Utilities: Central",
"AVNS","Avanos Medical, Inc.","45.31","2148982978.88","n/a","2014","Health Care","Industrial Specialties",
"AVYA","Avaya Holdings Corp.","16.21","1785551600.4","n/a","n/a","Public Utilities","Telecommunications Equipment",
"AVY","Avery Dennison Corporation","97.2","8428236105.6","n/a","n/a","Consumer Durables","Containers/Packaging",
"AVH","Avianca Holdings S.A.","4.63","577006392.93","n/a","2013","Transportation","Air Freight/Delivery Services",
"AVA","Avista Corporation","41.01","2693864880","n/a","n/a","Public Utilities","Power Generation",
"AVP","Avon Products, Inc.","1.98","875873102.94","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics",
"AVX","AVX Corporation","17.65","2979235244.7","n/a","n/a","Capital Goods","Electrical Products",
"EQH","AXA Equitable Holdings, Inc.","18.65","9863271786.7","n/a","2018","Finance","Specialty Insurers",
"AXTA","Axalta Coating Systems Ltd.","25.55","6099172184.7","n/a","2014","Basic Industries","Paints/Coatings",
"AXS","Axis Capital Holdings Limited","54.87","4585994874.12","n/a","2003","Finance","Property-Casualty Insurers",
"AX","Axos Financial, Inc.","28.11","1766202741.3","n/a","n/a","Finance","Savings Institutions",
"AXO","Axos Financial, Inc.","25.15","0","n/a","n/a","Finance","Savings Institutions",
"AZUL","Azul S.A.","28.7","3240080846.1","n/a","2017","Transportation","Air Freight/Delivery Services",
"AZRE","Azure Power Global Limited","9.4175","385546159.11","n/a","2016","Public Utilities","Electric Utilities: Central",
"AZZ","AZZ Inc.","44.72","1166619181.52","n/a","n/a","Consumer Durables","Building Products",
"BGS","B&G Foods, Inc.","26.67","1758430683.03","n/a","n/a","Consumer Non-Durables","Packaged Foods",
"BW","Babcock","0.4434","74814672.2718","n/a","2015","Capital Goods","Building Products",
"BGH","Babson Global Short Duration High Yield Fund","16.98","340582276.02","n/a","2012","n/a","n/a",
"BMI","Badger Meter, Inc.","53.18","1548228382.76","n/a","n/a","Capital Goods","Industrial Machinery/Components",
"BCSF","Bain Capital Specialty Finance, Inc.","18.24","939034178.88","n/a","2018","n/a","n/a",
"BHGE","Baker Hughes, a GE company","23.49","25837393401.45","n/a","2017","Energy","Metal Fabrications",
"BBN","BalckRock Taxable Municipal Bond Trust","21.92","1251940677.44","n/a","2010","n/a","n/a",
"BLL","Ball Corporation","51.75","17553144962.25","n/a","n/a","Consumer Durables","Containers/Packaging",
"BANC","Banc of California, Inc.","14.79","749103723.81","n/a","n/a","Finance","Major Banks",
"BBVA","Banco Bilbao Viscaya Argentaria S.A.","6.1","40674800000","n/a","n/a","Finance","Commercial Banks",
"BBD","Banco Bradesco Sa","11.51","77043116987.72","n/a","n/a","Finance","Major Banks",
"BBDO","Banco Bradesco Sa","10.305","68977351916.46","n/a","n/a","Finance","Major Banks",
"BCH","Banco De Chile","30.9","46821463857","n/a","n/a","Finance","Commercial Banks",
"BLX","Banco Latinoamericano de Comercio Exterior, S.A.","18.5","731463193.5","n/a","1992","Finance","Commercial Banks",
"BSBR","Banco Santander Brasil SA","13.2","98629053547.2","n/a","2009","Finance","Commercial Banks",
"BSAC","Banco Santander Chile","31.95","15052134346.2","n/a","n/a","Finance","Commercial Banks",
"BSMX","Banco Santander Mexico, S.A., Institucion de Ban","7.33","9949733724.43","n/a","2012","Finance","Commercial Banks",
"SAN","Banco Santander, S.A.","5.02","81507601188.84","n/a","n/a","Finance","Commercial Banks",
"CIB","BanColombia S.A.","43.58","10479105165","n/a","n/a","Finance","Commercial Banks",
"BXS","BancorpSouth Bank","29.01","2891569487.22","n/a","n/a","Finance","Major Banks",
"BAC","Bank of America Corporation","29.58","286017490824.6","n/a","n/a","Finance","Major Banks",
"BOH","Bank of Hawaii Corporation","76.79","3206185532.76","n/a","n/a","Finance","Major Banks",
"BMO","Bank Of Montreal","73.48","46977940845","n/a","n/a","Finance","Commercial Banks",
"NTB","Bank of N.T. Butterfield & Son Limited (The)","35.54","1966742053.74","n/a","2016","Finance","Commercial Banks",
"BK","Bank Of New York Mellon Corporation (The)","53.4","51286748400","n/a","n/a","Finance","Major Banks",
"BNS","Bank of Nova Scotia (The)","55.62","68248458371.88","n/a","n/a","Finance","Major Banks",
"BKU","BankUnited, Inc.","33.92","3362875406.08","n/a","2011","Finance","Savings Institutions",
"BCS","Barclays PLC","8.62","36921197542.02","n/a","n/a","Finance","Commercial Banks",
"BBDC","Barings BDC, Inc.","9.72","498481102.08","n/a","n/a","n/a","n/a",
"MCI","Barings Corporate Investors","14.96","299367596.88","n/a","n/a","n/a","n/a",
"MPV","Barings Participation Investors","15.406","161663353.992","n/a","1988","Consumer Services","Miscellaneous",
"BNED","Barnes & Noble Education, Inc","5.71","271571380.02","n/a","2015","Consumer Services","Other Specialty Stores",
"BKS","Barnes & Noble, Inc.","6.33","462213555.27","n/a","n/a","Consumer Services","Other Specialty Stores",
"B","Barnes Group, Inc.","57.98","2974774931.7","n/a","n/a","Capital Goods","Metal Fabrications",
"GOLD","Barrick Gold Corporation","12.25","21452965012.5","n/a","n/a","Basic Industries","Precious Metals",
"BAS","Basic Energy Services, Inc.","5.15","136789788.6","n/a","2005","Energy","Oilfield Services/Equipment",
"BHC","Bausch Health Companies Inc.","23.79","8320725048.87","n/a","n/a","Health Care","Major Pharmaceuticals",
"BAX","Baxter International Inc.","70.33","37425476389.34","n/a","n/a","Health Care","Medical/Dental Instruments",
"BTE","Baytex Energy Corp","1.69","936327883.92","n/a","n/a","Energy","Oil & Gas Production",
"BBT","BB&T Corporation","49.37","37685404620","n/a","n/a","Finance","Major Banks",
"BFR","BBVA Banco Frances S.A.","12.73","2599719059.67","n/a","n/a","Finance","Commercial Banks",
"BBX","BBX Capital Corporation","6.09","590975944.65","n/a","2017","Finance","Real Estate",
"BCE","BCE, Inc.","42.35","38038787575.25","n/a","n/a","Public Utilities","Telecommunications Equipment",
"BZH","Beazer Homes USA, Inc.","11.6","382248048.8","n/a","1994","Capital Goods","Homebuilding",
"BDX","Becton, Dickinson and Company","243.06","65493045412.44","n/a","n/a","Health Care","Medical/Dental Instruments",
"BDXA","Becton, Dickinson and Company","60.74","0","n/a","n/a","Health Care","Medical/Dental Instruments",
"BDC","Belden Inc","53.42","2153114895.36","n/a","n/a","Basic Industries","Telecommunications Equipment",
"BXE","Bellatrix Exploration Ltd","0.4","32363690","n/a","n/a","Energy","Oil & Gas Production",
"BEL","Belmond Ltd.","24.87","2543028205.41","n/a","n/a","Consumer Services","Hotels/Resorts",
"BMS","Bemis Company, Inc.","48.74","4436167361.5","n/a","n/a","Consumer Durables","Containers/Packaging",
"BHE","Benchmark Electronics, Inc.","24.34","1063910065.04","n/a","n/a","Technology","Electrical Products",
"BRK.A","Berkshire Hathaway Inc.","n/a","0","n/a","n/a","n/a","n/a",
"BRK.B","Berkshire Hathaway Inc.","n/a","0","n/a","n/a","n/a","n/a",
"BHLB","Berkshire Hills Bancorp, Inc.","27.49","1248513330","n/a","n/a","Finance","Banks",
"BERY","Berry Global Group, Inc.","51.03","6695136000","n/a","2012","Consumer Non-Durables","Plastic Products",
"BBY","Best Buy Co., Inc.","59.34","15968487104.46","n/a","n/a","Consumer Services","Consumer Electronics/Video Chains",
"BSTI","BEST Inc.","4.79","1854688000","n/a","2017","Transportation","Trucking Freight/Courier Services",
"BHP","BHP Group Limited","48.21","121917450731.67","n/a","n/a","Basic Industries","Precious Metals",
"BBL","BHP Group Plc","42.59","107704241523.9","n/a","n/a","Energy","Coal Mining",
"BIG","Big Lots, Inc.","32.5","1301578882.5","n/a","n/a","Consumer Services","Department/Specialty Retail Stores",
"BH","Biglari Holdings Inc.","126.01","260554153.26","n/a","2018","Consumer Services","Restaurants",
"BHVN","Biohaven Pharmaceutical Holding Company Ltd.","35.84","1583913533.44","n/a","2017","Health Care","Major Pharmaceuticals",
"BIO","Bio-Rad Laboratories, Inc.","240.31","7200217243.24","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments",
"BITA","Bitauto Holdings Limited","18.11","1317320784.26","n/a","2010","Technology","EDP Services",
"BJ","BJ&#39;s Wholesale Club Holdings, Inc.","26.19","3583798560.27","n/a","2018","Consumer Services","Department/Specialty Retail Stores",
"BKH","Black Hills Corporation","64.5","3868362990","n/a","n/a","Public Utilities","Electric Utilities: Central",
"BKI","Black Knight, Inc.","48.15","7193592328.95","n/a","2017","Technology","Computer Software: Prepackaged Software",
"BSM","Black Stone Minerals, L.P.","16.65","3409820949.15","n/a","2015","Energy","Oil & Gas Production",
"BB","BlackBerry Limited","8.1","4433562839.7","n/a","n/a","Technology","Computer Software: Prepackaged Software",
"BGIO","BlackRock 2022 Global Income Opportunity Trust","8.65","191414803.35","n/a","2017","n/a","n/a",
"BFZ","BlackRock California Municipal Income Trust","12.41","395914802.85","n/a","2001","n/a","n/a",
"CII","Blackrock Capital and Income Strategies Fund Inc","15.05","664027070","n/a","2004","n/a","n/a",
"BHK","Blackrock Core Bond Trust","12.87","694145071.62","n/a","2001","n/a","n/a",
"HYT","Blackrock Corporate High Yield Fund, Inc.","9.77","1216849445.45","n/a","2003","n/a","n/a",
"BTZ","BlackRock Credit Allocation Income Trust","11.76","1251949290.48","n/a","2006","n/a","n/a",
"DSU","Blackrock Debt Strategies Fund, Inc.","10.3","544444537.9","n/a","1998","n/a","n/a",
"BGR","BlackRock Energy and Resources Trust","11.55","344482515.3","n/a","2004","n/a","n/a",
"BDJ","Blackrock Enhanced Equity Dividend Trust","8.27","1550975689.35","n/a","2005","n/a","n/a",
"EGF","Blackrock Enhanced Government Fund, Inc","12.955","75730551.21","n/a","2005","n/a","n/a",
"FRA","Blackrock Floating Rate Income Strategies Fund Inc","12.41","462055176.08","n/a","2003","n/a","n/a",
"BFO","Blackrock Florida Municipal 2020 Term Trust","14.13","78592868.64","n/a","2003","n/a","n/a",
"BGT","Blackrock Global","12.1","286370966.2","n/a","2004","n/a","n/a",
"BOE","Blackrock Global","10.06","693252657.7","n/a","2005","n/a","n/a",
"BME","Blackrock Health Sciences Trust","38.61","362179135.89","n/a","2005","n/a","n/a",
"BAF","BlackRock Income Investment Quality Trust","13.276","116157273.368","n/a","2002","n/a","n/a",
"BKT","BlackRock Income Trust Inc. (The)","5.83","371937162.96","n/a","n/a","n/a","n/a",
"BGY","BLACKROCK INTERNATIONAL, LTD.","5.28","575778809.76","n/a","2007","n/a","n/a",
"BKN","BlackRock Investment Quality Municipal Trust Inc. (The)","13.8","237164854.2","n/a","1993","n/a","n/a",
"BTA","BlackRock Long-Term Municipal Advantage Trust","11.45","153684728.15","n/a","2006","n/a","n/a",
"BZM","BlackRock Maryland Municipal Bond Trust","13.56","28220841.48","n/a","2002","n/a","n/a",
"MHE","BlackRock Massachusetts Tax-Exempt Trust","11.91","28238883.93","n/a","1993","n/a","n/a",
"BIT","BlackRock Multi-Sector Income Trust","16.09","610556192.26","n/a","2013","n/a","n/a",
"MUI","Blackrock Muni Intermediate Duration Fund Inc","13.31","509723300.46","n/a","2003","n/a","n/a",
"MNE","Blackrock Muni New York Intermediate Duration Fund Inc","12.78","53801806.32","n/a","2003","n/a","n/a",
"MUA","Blackrock MuniAssets Fund, Inc.","13.74","494745949.14","n/a","1993","n/a","n/a",
"BKK","Blackrock Municipal 2020 Term Trust","14.91","301728123.48","n/a","2003","n/a","n/a",
"BBK","Blackrock Municipal Bond Trust","14.17","149110300.69","n/a","2002","n/a","n/a",
"BBF","BlackRock Municipal Income Investment Trust","12.85","131313854.45","n/a","n/a","n/a","n/a",
"BYM","Blackrock Municipal Income Quality Trust","13.03","344073737.19","n/a","2002","n/a","n/a",
"BFK","BlackRock Municipal Income Trust","12.94","579924565.38","n/a","n/a","n/a","n/a",
"BLE","BlackRock Municipal Income Trust II","14.08","331300442.88","n/a","2002","n/a","n/a",
"BTT","BlackRock Municipal Target Term Trust Inc. (The)","21.67","1527855723.57","n/a","2012","n/a","n/a",
"MEN","Blackrock MuniEnhanced Fund, Inc.","10.44","309483788.04","n/a","1989","n/a","n/a",
"MUC","Blackrock MuniHoldings California Quality Fund,  Inc.","12.84","526471881.72","n/a","1998","n/a","n/a",
"MUH","Blackrock MuniHoldings Fund II, Inc.","13.63","154260918.87","n/a","1998","n/a","n/a",
"MHD","Blackrock MuniHoldings Fund, Inc.","15.18","215057473.62","n/a","1997","n/a","n/a",
"MFL","Blackrock MuniHoldings Investment Quality Fund","12.75","483176652","n/a","1997","n/a","n/a",
"MUJ","Blackrock MuniHoldings New Jersey Insured Fund, Inc.","12.99","391698706.35","n/a","1998","n/a","n/a",
"MHN","Blackrock MuniHoldings New York Quality Fund, Inc.","12.27","381989922.21","n/a","1997","n/a","n/a",
"MUE","Blackrock MuniHoldings Quality Fund II, Inc.","12","270182688","n/a","n/a","n/a","n/a",
"MUS","Blackrock MuniHoldings Quality Fund, Inc.","11.86","154362347.5","n/a","1998","n/a","n/a",
"MVT","Blackrock MuniVest Fund II, Inc.","14.41","305397225.43","n/a","1993","n/a","n/a",
"MYC","Blackrock MuniYield California Fund, Inc.","13.41","287235414.54","n/a","1992","n/a","n/a",
"MCA","Blackrock MuniYield California Insured Fund, Inc.","12.96","445898092.32","n/a","1992","n/a","n/a",
"MYD","Blackrock MuniYield Fund, Inc.","13.42","627590755.44","n/a","1991","n/a","n/a",
"MYF","Blackrock MuniYield Investment Fund","13.32","182250074.16","n/a","1992","n/a","n/a",
"MFT","Blackrock MuniYield Investment QualityFund","13.1","111024975.9","n/a","1992","n/a","n/a",
"MIY","Blackrock MuniYield Michigan Quality Fund, Inc.","12.8","378601843.2","n/a","1992","n/a","n/a",
"MYJ","Blackrock MuniYield New Jersey Fund, Inc.","13.48","325651255.4","n/a","1992","n/a","n/a",
"MYN","Blackrock MuniYield New York Quality Fund, Inc.","11.82","467913422.88","n/a","1992","n/a","n/a",
"MPA","Blackrock MuniYield Pennsylvania Quality Fund","13.0572","174344500.278","n/a","1992","n/a","n/a",
"MQT","Blackrock MuniYield Quality Fund II, Inc.","11.9","268440307.1","n/a","1992","n/a","n/a",
"MYI","Blackrock MuniYield Quality Fund III, Inc.","12.32","838805204.16","n/a","n/a","n/a","n/a",
"MQY","Blackrock MuniYield Quality Fund, Inc.","13.62","418137118.98","n/a","1992","n/a","n/a",
"BNY","BlackRock New York Investment Quality Municipal Trust Inc. (Th","12.54","162563217.96","n/a","n/a","n/a","n/a",
"BQH","Blackrock New York Municipal Bond Trust","13.3","37241396.5","n/a","2002","n/a","n/a",
"BSE","Blackrock New York Municipal Income Quality Trust","12.51","81560946.6","n/a","2002","n/a","n/a",
"BFY","BlackRock New York Municipal Income Trust II","12.86","64363296.92","n/a","2002","n/a","n/a",
"BCX","BlackRock Resources","7.77","761757140.34","n/a","2011","n/a","n/a",
"BST","BlackRock Science and Technology Trust","30.77","688362593.25","n/a","2014","n/a","n/a",
"BSD","BlackRock Strategic Municipal Trust Inc. (The)","12.61","92133792.27","n/a","1999","n/a","n/a",
"BUI","BlackRock Utility, Infrastructure & Power Opportun","20.19","341631194.28","n/a","2011","n/a","n/a",
"BHV","BlackRock Virginia Municipal Bond Trust","15.41","24714003.24","n/a","2002","n/a","n/a",
"BLK","BlackRock, Inc.","409.95","64985334262.65","n/a","1999","Finance","Investment Bankers/Brokers/Service",
"BGB","Blackstone / GSO Strategic Credit Fund","13.93","622174841.26","n/a","2012","n/a","n/a",
